number,family,genus,specific epithet,species,mycorrhizal type selivanov,mycorrhizal type modern,site number,intensity of mycorrhizal infection,literature data on presence-absence of mycorrhiza,mycorrhizal intensity min,mycorrhizal intensity max,taxonomy notes
5814,Papaveraceae,Roemeria,refracta,Roemeria refracta,no,no,75,0,,,,ok
5815,Brassicaceae,Rorippa,palustre,Rorippa palustre,no,no,3,,-,,,note that generic name may have changed
5816,Brassicaceae,Rorippa,palustris,Rorippa palustris,no,no,39,0,,,,ok
5817,Rosaceae,Rosa,acicularis,Rosa acicularis,VAM,AM,3,,+,,,ok
5818,Rosaceae,Rosa,acicularis,Rosa acicularis,Ph.th.end.,AM,21,14,,,,ok
5819,Rosaceae,Rosa,acicularis,Rosa acicularis,Ph.th.end.,AM,22,72,,,,ok
5820,Rosaceae,Rosa,acicularis,Rosa acicularis,Ph.th.end.,AM,23,76,,,,ok
5821,Rosaceae,Rosa,acicularis,Rosa acicularis,VAM,AM,84,54,,,,ok
5822,Rosaceae,Rosa,acicularis,Rosa acicularis,VAM,AM,86,20,,,,ok
5823,Rosaceae,Rosa,acicularis,Rosa acicularis,VAM,AM,147,,+,,,ok
5824,Rosaceae,Rosa,acicularis,Rosa acicularis,no,no,4,0,,,,ok
5825,Rosaceae,Rosa,acicularis,Rosa acicularis,no,no,28,,-,,,ok
5826,Rosaceae,Rosa,beggeriana,Rosa beggeriana,VAM,AM,147,,+,,,ok
5827,Rosaceae,Rosa,canina,Rosa canina,Ph.th.end.,AM,136,62,,,,ok
5828,Rosaceae,Rosa,canina,Rosa canina,Ph.th.end.,AM,146,100,,,,ok
5829,Rosaceae,Rosa,canina,Rosa canina,VAM,AM,147,,+,,,ok
5830,Rosaceae,Rosa,canina,Rosa canina,VAM,AM,152,,+,,,ok
5831,Rosaceae,Rosa,davurica,Rosa davurica,Ph.th.end.,AM,147,,+,,,ok
5832,Rosaceae,Rosa,davurica,Rosa davurica,no,no,28,,-,,,ok
5833,Rosaceae,Rosa,glauca,Rosa glauca,Ph.th.end.,AM,146,56,,,,ok
5834,Rosaceae,Rosa,glauca,Rosa glauca,VAM,AM,147,,+,,,ok
5835,Rosaceae,Rosa,kokanica,Rosa kokanica,Ph.th.end.,AM,83,20,,,,ok
5836,Rosaceae,Rosa,kokanica,Rosa kokanica,Ph.th.end.,AM,136,30,,,,ok
5837,Rosaceae,Rosa,majalis,Rosa majalis,Ph.th.end.,AM,8,56,,,,ok
5838,Rosaceae,Rosa,majalis,Rosa majalis,Ph.th.end.,AM,9,32,,,,ok
5839,Rosaceae,Rosa,majalis,Rosa majalis,Ph.th.end.,AM,10,20,,,,ok
5840,Rosaceae,Rosa,majalis,Rosa majalis,Ph.th.end.,AM,18,20,,,,ok
5841,Rosaceae,Rosa,majalis,Rosa majalis,Ph.th.end.,AM,19,38,,,,ok
5842,Rosaceae,Rosa,majalis,Rosa majalis,Ph.th.end.,AM,20,40,,,,ok
5843,Rosaceae,Rosa,majalis,Rosa majalis,Ph.th.end.,AM,25,82,,,,ok
5844,Rosaceae,Rosa,majalis,Rosa majalis,Ecto,Ectomycorrhiza ,40,,+,,,ok
5845,Rosaceae,Rosa,maximowicziana,Rosa maximowicziana,Ph.th.end.,AM,147,,+,,,ok
5846,Rosaceae,Rosa,mollis,Rosa mollis,Ph.th.end.,AM,147,,+,,,ok
5847,Rosaceae,Rosa,multiflora,Rosa multiflora,no,no,28,,-,,,ok
5848,Rosaceae,Rosa,persica,Rosa persica,Ph.th.end.,AM,66,40,,,,note that generic name may have changed
5849,Rosaceae,Rosa,pimpinellifolia,Rosa pimpinellifolia,Ph.th.end.,AM,95,45,,,,ok
5850,Rosaceae,Rosa,pimpinellifolia,Rosa pimpinellifolia,Ph.th.end.,AM,146,80,,,,ok
5851,Rosaceae,Rosa,pimpinellifolia,Rosa pimpinellifolia,Ph.th.end.,AM,146,34,,,,ok
5852,Rosaceae,Rosa,pimpinellifolia,Rosa pimpinellifolia,VAM,AM,147,,+,,,ok
5853,Rosaceae,Rosa,rugosa,Rosa rugosa,Ph.th.end.,AM,146,100,,,,ok
5854,Rosaceae,Rosa,rugosa,Rosa rugosa,VAM,AM,147,,+,,,ok
5855,Rosaceae,Rosa,rugosa,Rosa rugosa,no,no,28,,-,,,ok
5856,Rubiaceae,Rubia,tibetica,Rubia tibetica,no,no,144,0,,,,ok
5857,Rosaceae,Rubus,arcticus,Rubus arcticus,VAM,AM,3,,+,,,ok
5858,Rosaceae,Rubus,arcticus,Rubus arcticus,Ph.th.end.,AM,4,80,,,,ok
5859,Rosaceae,Rubus,arcticus,Rubus arcticus,Ph.th.end.,AM,5,80,,,,ok
5860,Rosaceae,Rubus,arcticus,Rubus arcticus,Ph.th.end.,AM,10,20,,,,ok
5861,Rosaceae,Rubus,arcticus,Rubus arcticus,Ph.th.end.,AM,12,20,,,,ok
5862,Rosaceae,Rubus,arcticus,Rubus arcticus,Ph.th.end.,AM,13,20,,,,ok
5863,Rosaceae,Rubus,arcticus,Rubus arcticus,Ph.th.end.,AM,14,2,,,,ok
5864,Rosaceae,Rubus,arcticus,Rubus arcticus,VAM,AM,153,,+,,,ok
5865,Rosaceae,Rubus,arcticus,Rubus arcticus,no,no,36,0,,,,ok
5866,Rosaceae,Rubus,buschii,Rubus buschii,Ph.th.end.,AM,133,60,,,,ok
5867,Rosaceae,Rubus,caesius,Rubus caesius,VAM,AM,27,,+,,,ok
5868,Rosaceae,Rubus,caesius,Rubus caesius,Ph.th.end.,AM,135,40,,,,ok
5869,Rosaceae,Rubus,caesius,Rubus caesius,VAM,AM,147,,+,,,ok
5870,Rosaceae,Rubus,caesius,Rubus caesius,no,no,83,0,,,,ok
5871,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,Ph.th.end.,AM,14,2,,,,ok
5872,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,VAM,AM,153,,+,,,ok
5873,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,no,no,3,,-,,,ok
5874,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,no,no,4,0,,,,ok
5875,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,no,no,10,0,,,,ok
5876,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,no,no,12,0,,,,ok
5877,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,no,no,13,0,,,,ok
5878,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,no,no,20,0,,,,ok
5879,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,no,no,24,0,,,,ok
5880,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,no,no,39,0,,,,ok
5881,Rosaceae,Rubus,crataegifolius,Rubus crataegifolius,no,no,28,,-,,,ok
5882,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,8,52,,,,ok
5883,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,9,58,,,,ok
5884,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,11,40,,,,ok
5885,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,21,38,,,,ok
5886,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,23,76,,,,ok
5887,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,25,80,,,,ok
5888,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,84,58,,,,ok
5889,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,86,18,,,,ok
5890,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,88,56,,,,ok
5891,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,90,78,,,,ok
5892,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,91,76,,,,ok
5893,Rosaceae,Rubus,idaeus,Rubus idaeus,Ph.th.end.,AM,146,60,,,,ok
5894,Rosaceae,Rubus,idaeus,Rubus idaeus,no,no,4,0,,,,ok
5895,Rosaceae,Rubus,idaeus,Rubus idaeus,no,no,11,0,,,,ok
5896,Rosaceae,Rubus,idaeus,Rubus idaeus,no,no,12,0,,,,ok
5897,Rosaceae,Rubus,idaeus,Rubus idaeus,no,no,13,0,,,,ok
5898,Rosaceae,Rubus,idaeus,Rubus idaeus,no,no,14,0,,,,ok
5899,Rosaceae,Rubus,idaeus,Rubus idaeus,no,no,27,0,,,,ok
5900,Rosaceae,Rubus,idaeus,Rubus idaeus,no,no,153,,-,,,ok
5901,Rosaceae,Rubus,matsumuranus,Rubus matsumuranus,Ph.th.end.,AM,147,,+,,,ok
5902,Rosaceae,Rubus,odoratus,Rubus odoratus,Ph.th.end.,AM,146,72,,,,ok
5903,Rosaceae,Rubus,odoratus,Rubus odoratus,VAM,AM,147,,+,,,ok
5904,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,8,20,,,,ok
5905,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,9,2,,,,ok
5906,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,10,34,,,,ok
5907,Rosaceae,Rubus,saxatilis,Rubus saxatilis,VAM,AM,15,,+,,,ok
5908,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,19,34,,,,ok
5909,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,20,2,,,,ok
5910,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,21,20,,,,ok
5911,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,22,84,,,,ok
5912,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,23,80,,,,ok
5913,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,25,88,,,,ok
5914,Rosaceae,Rubus,saxatilis,Rubus saxatilis,VAM,AM,27,,+,,,ok
5915,Rosaceae,Rubus,saxatilis,Rubus saxatilis,VAM,AM,36,,+,,,ok
5916,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,39,60,,,,ok
5917,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,40,40,,,,ok
5918,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,85,74,,,,ok
5919,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,86,56,,,,ok
5920,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,90,80,,,,ok
5921,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,91,80,,,,ok
5922,Rosaceae,Rubus,saxatilis,Rubus saxatilis,Ph.th.end.,AM,96,,+,,,ok
5923,Rosaceae,Rubus,saxatilis,Rubus saxatilis,no,no,4,0,,,,ok
5924,Rosaceae,Rubus,saxatilis,Rubus saxatilis,no,no,5,0,,,,ok
5925,Asteraceae,Rudbeckia,hirta,Rudbeckia hirta,Ph.th.end.,AM,145,12,,,,ok
5926,Polygonaceae,Rumex,acetosa,Rumex acetosa,Ps.end.,DS,34,,+,,,ok
5927,Polygonaceae,Rumex,acetosa,Rumex acetosa,Ps.end.,DS,35,,+,,,ok
5928,Polygonaceae,Rumex,acetosa,Rumex acetosa,Ps.end.,DS,36,,+,,,ok
5929,Polygonaceae,Rumex,acetosa,Rumex acetosa,Ps.end.,DS,37,,+,,,ok
5930,Polygonaceae,Rumex,acetosa,Rumex acetosa,Ps.end.,DS,87,48,,,,ok
5931,Polygonaceae,Rumex,acetosa,Rumex acetosa,Ps.end.,DS,89,30,,,,ok
5932,Polygonaceae,Rumex,acetosa,Rumex acetosa,Ps.end.,DS,90,16,,,,ok
5933,Polygonaceae,Rumex,acetosa,Rumex acetosa,Ps.end.,DS,91,,+,,,ok
5934,Polygonaceae,Rumex,acetosa,Rumex acetosa,Ps.end.,DS,96,,+,,,ok
5935,Polygonaceae,Rumex,acetosella,Rumex acetosella,Ph.th.end.,AM,103,30,,,,ok
5936,Polygonaceae,Rumex,acetosella,Rumex acetosella,Ph.th.end.,AM,115,30,,,,ok
5937,Polygonaceae,Rumex,acetosella,Rumex acetosella,Ecto,Ectomycorrhiza ,27,,+,,,ok
5938,Polygonaceae,Rumex,acetosella,Rumex acetosella,no,no,21,0,,,,ok
5939,Polygonaceae,Rumex,acetosella,Rumex acetosella,no,no,33,0,,,,ok
5940,Polygonaceae,Rumex,acetosella,Rumex acetosella,no,no,36,0,,,,ok
5941,Polygonaceae,Rumex,alpestris,Rumex alpestris,no,no,153,,-,,,ok
5942,Polygonaceae,Rumex,alpinus,Rumex alpinus,Ph.th.end.,AM,99,20,,,,ok
5943,Polygonaceae,Rumex,alpinus,Rumex alpinus,Ph.th.end.,AM,127,20,,,,ok
5944,Polygonaceae,Rumex,alpinus,Rumex alpinus,no,no,94,0,,,,ok
5945,Polygonaceae,Rumex,alpinus,Rumex alpinus,no,no,153,,-,,,ok
5946,Polygonaceae,Rumex,arcticus,Rumex arcticus,no,no,1,,-,,,ok
5947,Polygonaceae,Rumex,confertus,Rumex confertus,Ph.th.end.,AM,32,80,,,,ok
5948,Polygonaceae,Rumex,confertus,Rumex confertus,Ph.th.end.,AM,34,,+,,,ok
5949,Polygonaceae,Rumex,confertus,Rumex confertus,Ph.th.end.,AM,35,,+,,,ok
5950,Polygonaceae,Rumex,confertus,Rumex confertus,no,no,3,,-,,,ok
5951,Polygonaceae,Rumex,crispus,Rumex crispus,Ph.th.end.,AM,39,76,,,,ok
5952,Polygonaceae,Rumex,scutatus,Rumex scutatus,Ph.th.end.,AM,98,,+,,,ok
5953,Ruscaceae,Ruscus,aculeatus,Ruscus aculeatus,Ph.th.end.,AM,144,,+,,,ok
5954,Ruscaceae,Ruscus,hypophyllum,Ruscus hypophyllum,Ph.th.end.,AM,134,80,,,,ok
5955,Ruscaceae,Ruscus,ponticus,Ruscus ponticus,Ph.th.end.,AM,134,60,,,,ok
5956,Poaceae,Saccharum,officinarum,Saccharum officinarum,Ph.th.end.,AM,153,,+,,,ok
5957,Caryophyllaceae,Sagina,intermedia,Sagina intermedia,no,no,1,,-,,,ok
5958,Caryophyllaceae,Sagina,intermedia,Sagina intermedia,no,no,3,,-,,,ok
5959,Caryophyllaceae,Sagina,subulata,Sagina subulata,no,no,145,0,,,,ok
5960,Alismataceae,Sagittaria,sagittifolia,Sagittaria sagittifolia,no,no,39,0,,,,ok
5961,Amaranthaceae,Salicornia,europaea,Salicornia europaea,no,no,68,0,,,,ok
5962,Amaranthaceae,Salicornia,europaea,Salicornia europaea,no,no,153,,-,,,ok
5963,Amaranthaceae,Salicornia,patula,Salicornia patula,no,no,153,,-,,,ok
5964,Salicaceae,Salix,acutifolia,Salix acutifolia,Ph.th.end.,AM,147,,+,,,ok
5965,Salicaceae,Salix,acutifolia,Salix acutifolia,Ecto,Ectomycorrhiza ,27,,+,,,ok
5966,Salicaceae,Salix,acutifolia,Salix acutifolia,E.ch.ect.,Ectomycorrhiza ,145,,+,,,ok
5967,Salicaceae,Salix,acutifolia,Salix acutifolia,Ecto,Ectomycorrhiza ,152,,+,,,ok
5968,Salicaceae,Salix,acutifolia,Salix acutifolia,Ecto,Ectomycorrhiza ,153,,+,,,ok
5969,Salicaceae,Salix,alba,Salix alba,E.ch.ect.,Ectomycorrhiza ,145,,+,,,ok
5970,Salicaceae,Salix,alba,Salix alba,no,no,50,,-,,,ok
5971,Salicaceae,Salix,arbutifolia,Salix arbutifolia,Ph.th.end.,AM,147,,+,,,note that generic name may have changed
5972,Salicaceae,Salix,arbutifolia,Salix arbutifolia,Ecto,Ectomycorrhiza ,28,,+,,,note that generic name may have changed
5973,Salicaceae,Salix,arctica,Salix arctica,Ecto,Ectomycorrhiza ,1,,+,,,ok
5974,Salicaceae,Salix,arctica,Salix arctica,Ecto,Ectomycorrhiza ,2,,+,,,ok
5975,Salicaceae,Salix,arctica,Salix arctica,E.ch.ect.,Ectomycorrhiza ,5,,+,,,ok
5976,Salicaceae,Salix,aurita,Salix aurita,Ecto,Ectomycorrhiza ,153,,+,,,ok
5977,Salicaceae,Salix,bebbiana,Salix bebbiana,Ecto,Ectomycorrhiza ,28,,+,,,ok
5978,Salicaceae,Salix,blakii,Salix blakii,Ph.th.end.,AM,83,100,,,,ok
5979,Salicaceae,Salix,blakii,Salix blakii,E.ch.ect.,Ectomycorrhiza ,146,,+,,,ok
5980,Salicaceae,Salix,caprea,Salix caprea,E.ch.ect.,Ectomycorrhiza ,8,100,,,,ok
5981,Salicaceae,Salix,caprea,Salix caprea,E.ch.ect.,Ectomycorrhiza ,18,100,,,,ok
5982,Salicaceae,Salix,caprea,Salix caprea,E.ch.ect.,Ectomycorrhiza ,19,100,,,,ok
5983,Salicaceae,Salix,caprea,Salix caprea,Ecto,Ectomycorrhiza ,97,,+,,,ok
5984,Salicaceae,Salix,caprea,Salix caprea,Ecto,Ectomycorrhiza ,147,,+,,,ok
5985,Salicaceae,Salix,caprea,Salix caprea,Ecto,Ectomycorrhiza ,153,,+,,,ok
5986,Salicaceae,Salix,caprea,Salix caprea,no,no,28,0,,,,ok
5987,Salicaceae,Salix,caprea,Salix caprea,no,no,28,,-,,,ok
5988,Salicaceae,Salix,caspica,Salix caspica,E.ch.ect.,Ectomycorrhiza ,65,80,,,,ok
5989,Salicaceae,Salix,caspica,Salix caspica,E.ch.ect.,Ectomycorrhiza ,145,,+,,,ok
5990,Salicaceae,Salix,cinerea,Salix cinerea,E.ch.ect.,Ectomycorrhiza ,10,100,,,,ok
5991,Salicaceae,Salix,cinerea,Salix cinerea,E.ch.ect.,Ectomycorrhiza ,25,100,,,,ok
5992,Salicaceae,Salix,cinerea,Salix cinerea,E.ch.ect.,Ectomycorrhiza ,48,,+,,,ok
5993,Salicaceae,Salix,cinerea,Salix cinerea,Ecto,Ectomycorrhiza ,153,,+,,,ok
5994,Salicaceae,Salix,daphnoides,Salix daphnoides,E.ch.ect.,Ectomycorrhiza ,146,,+,,,ok
5995,Salicaceae,Salix,dasyclados,Salix dasyclados,Ecto,Ectomycorrhiza ,3,,+,,,ok
5996,Salicaceae,Salix,glauca,Salix glauca,Ecto,Ectomycorrhiza ,3,,+,,,ok
5997,Salicaceae,Salix,glauca,Salix glauca,E.ch.ect.,Ectomycorrhiza ,90,100,,,,ok
5998,Salicaceae,Salix,glauca,Salix glauca,E.ch.ect.,Ectomycorrhiza ,92,60,,,,ok
5999,Salicaceae,Salix,glauca,Salix glauca,E.ch.ect.,Ectomycorrhiza ,93,70,,,,ok
6000,Salicaceae,Salix,gracilistyla,Salix gracilistyla,no,no,28,,-,,,ok
6001,Salicaceae,Salix,hastata,Salix hastata,Ecto,Ectomycorrhiza ,3,,+,,,ok
6002,Salicaceae,Salix,lanata,Salix lanata,Ecto,Ectomycorrhiza ,3,,+,,,ok
6003,Salicaceae,Salix,lapponum,Salix lapponum,Ecto,Ectomycorrhiza ,3,,+,,,ok
6004,Salicaceae,Salix,ledebouriana,Salix ledebouriana,Ph.th.end.,AM,147,,+,,,ok
6005,Salicaceae,Salix,myrtilloides,Salix myrtilloides,no,no,28,,-,,,ok
6006,Salicaceae,Salix,nipponica,Salix nipponica,Ecto,Ectomycorrhiza ,28,,+,,,ok
6007,Salicaceae,Salix,nummularia,Salix nummularia,E.ch.ect.,Ectomycorrhiza ,4,,+,,,ok
6008,Salicaceae,Salix,nummularia,Salix nummularia,Ecto,Ectomycorrhiza ,153,,+,,,ok
6009,Salicaceae,Salix,phylicifolia,Salix phylicifolia,Ecto,Ectomycorrhiza ,3,,+,,,ok
6010,Salicaceae,Salix,phylicifolia,Salix phylicifolia,E.ch.ect.,Ectomycorrhiza ,135,80,,,,ok
6011,Salicaceae,Salix,phylicifolia,Salix phylicifolia,E.ch.ect.,Ectomycorrhiza ,146,,+,,,ok
6012,Salicaceae,Salix,phylicifolia,Salix phylicifolia,Ecto,Ectomycorrhiza ,153,,+,,,ok
6013,Salicaceae,Salix,pierotii,Salix pierotii,Ecto,Ectomycorrhiza ,28,,+,,,ok
6014,Salicaceae,Salix,polaris,Salix polaris,Ecto,Ectomycorrhiza ,1,,+,,,ok
6015,Salicaceae,Salix,polaris,Salix polaris,Ecto,Ectomycorrhiza ,2,,+,,,ok
6016,Salicaceae,Salix,polaris,Salix polaris,Ecto,Ectomycorrhiza ,3,,+,,,ok
6017,Salicaceae,Salix,polaris,Salix polaris,E.ch.ect.,Ectomycorrhiza ,7,,+,,,ok
6018,Salicaceae,Salix,purpurea,Salix purpurea,E.ch.ect.,Ectomycorrhiza ,135,100,,,,ok
6019,Salicaceae,Salix,repens,Salix repens,Ecto,Ectomycorrhiza ,153,,+,,,ok
6020,Salicaceae,Salix,reptans,Salix reptans,Ecto,Ectomycorrhiza ,1,,+,,,ok
6021,Salicaceae,Salix,reptans,Salix reptans,Ecto,Ectomycorrhiza ,2,,+,,,ok
6022,Salicaceae,Salix,reticulata,Salix reticulata,Ecto,Ectomycorrhiza ,3,,+,,,ok
6023,Salicaceae,Salix,reticulata,Salix reticulata,Ecto,Ectomycorrhiza ,153,,+,,,ok
6024,Salicaceae,Salix,retusa,Salix retusa,Ecto,Ectomycorrhiza ,153,,+,,,ok
6025,Salicaceae,Salix,rorida,Salix rorida,Ecto,Ectomycorrhiza ,28,,+,,,ok
6026,Salicaceae,Salix,rosmarinifolia,Salix rosmarinifolia,E.ch.ect.,Ectomycorrhiza ,47,,+,,,ok
6027,Salicaceae,Salix,rotundifolia,Salix rotundifolia,Ecto,Ectomycorrhiza ,1,,+,,,ok
6028,Salicaceae,Salix,rotundifolia,Salix rotundifolia,Ecto,Ectomycorrhiza ,2,,+,,,ok
6029,Salicaceae,Salix,rotundifolia,Salix rotundifolia,Ecto,Ectomycorrhiza ,3,,+,,,ok
6030,Salicaceae,Salix,siuzevii,Salix siuzevii,Ecto,Ectomycorrhiza ,28,,+,,,ok
6031,Salicaceae,Salix,songarica,Salix songarica,E.ch.ect.,Ectomycorrhiza ,69,,+,,,ok
6032,Salicaceae,Salix,taimyrensis,Salix taimyrensis,Ecto,Ectomycorrhiza ,1,,+,,,ok
6033,Salicaceae,Salix,taimyrensis,Salix taimyrensis,Ecto,Ectomycorrhiza ,2,,+,,,ok
6034,Salicaceae,Salix,viminalis,Salix viminalis,Ph.th.end.,AM,147,,+,,,ok
6035,Salicaceae,Salix,viminalis,Salix viminalis,Ecto,Ectomycorrhiza ,28,,+,,,ok
6036,Salicaceae,Salix,viminalis,Salix viminalis,E.ch.ect.,Ectomycorrhiza ,85,100,,,,ok
6037,Salicaceae,Salix,viminalis,Salix viminalis,E.ch.ect.,Ectomycorrhiza ,86,100,,,,ok
6038,Salicaceae,Salix,viminalis,Salix viminalis,Ecto,Ectomycorrhiza ,153,,+,,,ok
6039,Salicaceae,Salix,wilhelmsiana,Salix wilhelmsiana,E.ch.ect.,Ectomycorrhiza ,19,40,,,,ok
6040,Salicaceae,Salix,wilhelmsiana,Salix wilhelmsiana,E.ch.ect.,Ectomycorrhiza ,67,40,,,,ok
6041,Salicaceae,Salix,wilhelmsiana,Salix wilhelmsiana,E.ch.ect.,Ectomycorrhiza ,68,40,,,,ok
6042,Amaranthaceae,Salsola,arbuscula,Salsola arbuscula,no,no,78,0,,,,ok
6043,Amaranthaceae,Salsola,arbuscula,Salsola arbuscula,no,no,80,0,,,,ok
6044,Amaranthaceae,Salsola,gemmascens,Salsola gemmascens,no,no,78,0,,,,ok
6045,Amaranthaceae,Salsola,gemmascens,Salsola gemmascens,no,no,79,0,,,,ok
6046,Amaranthaceae,Salsola,gemmascens,Salsola gemmascens,no,no,80,0,,,,ok
6047,Amaranthaceae,Salsola,laricifolia,Salsola laricifolia,Ph.th.end.,AM,60,20,,,,ok
6048,Amaranthaceae,Salsola,orientalis,Salsola orientalis,no,no,58,0,,,,ok
6049,Amaranthaceae,Salsola,orientalis,Salsola orientalis,no,no,78,0,,,,ok
6050,Amaranthaceae,Salsola,orientalis,Salsola orientalis,no,no,79,0,,,,ok
6051,Amaranthaceae,Salsola,orientalis,Salsola orientalis,no,no,80,0,,,,ok
6052,Amaranthaceae,Salsola,paulsenii,Salsola paulsenii,no,no,52,0,,,,ok
6053,Amaranthaceae,Salsola,paulsenii,Salsola paulsenii,no,no,53,0,,,,ok
6054,Amaranthaceae,Salsola,paulsenii,Salsola paulsenii,no,no,54,0,,,,ok
6055,Amaranthaceae,Salsola,paulsenii,Salsola paulsenii,no,no,69,0,,,,ok
6056,Amaranthaceae,Salsola,richleri,Salsola richleri,no,no,71,0,,,,ok
6057,Amaranthaceae,Salsola,sogdiana,Salsola sogdiana,no,no,72,0,,,,ok
6058,Amaranthaceae,Salsola,sogdiana,Salsola sogdiana,no,no,72,0,,,,ok
6059,Amaranthaceae,Salsola,sogdiana,Salsola sogdiana,no,no,73,0,,,,ok
6060,Amaranthaceae,Salsola,tamariscina,Salsola tamariscina,no,no,59,0,,,,ok
6061,Amaranthaceae,Salsola,tamariscina,Salsola tamariscina,no,no,70,0,,,,ok
6062,Lamiaceae,Salvia,glutinosa,Salvia glutinosa,Ph.th.end.,AM,134,100,,,,ok
6063,Lamiaceae,Salvia,splendens,Salvia splendens,Ph.th.end.,AM,145,2,,,,ok
6064,Lamiaceae,Salvia,stepposa,Salvia stepposa,Ph.th.end.,AM,41,80,,,,ok
6065,Lamiaceae,Salvia,stepposa,Salvia stepposa,Ph.th.end.,AM,42,60,,,,ok
6066,Lamiaceae,Salvia,stepposa,Salvia stepposa,Ph.th.end.,AM,43,60,,,,ok
6067,Lamiaceae,Salvia,verticillata,Salvia verticillata,Ph.th.end.,AM,98,90,,,,ok
6068,Lamiaceae,Salvia,verticillata,Salvia verticillata,Ph.th.end.,AM,107,60,,,,ok
6069,Lamiaceae,Salvia,verticillata,Salvia verticillata,Ph.th.end.,AM,112,75,,,,ok
6070,Lamiaceae,Salvia,verticillata,Salvia verticillata,Ph.th.end.,AM,126,50,,,,ok
6071,Lamiaceae,Salvia,virgata,Salvia virgata,Ph.th.end.,AM,102,10,,,,ok
6072,Lamiaceae,Salvia,virgata,Salvia virgata,Ph.th.end.,AM,103,20,,,,ok
6073,Caprifoliaceae,Sambucus,canadensis,Sambucus canadensis,Ph.th.end.,AM,146,82,,,,ok
6074,Caprifoliaceae,Sambucus,miquelii,Sambucus miquelii,no,no,28,,-,,,ok
6075,Caprifoliaceae,Sambucus,nigra,Sambucus nigra,Ph.th.end.,AM,90,50,,,,ok
6076,Caprifoliaceae,Sambucus,nigra,Sambucus nigra,Ph.th.end.,AM,95,50,,,,ok
6077,Caprifoliaceae,Sambucus,nigra,Sambucus nigra,Ph.th.end.,AM,133,40,,,,ok
6078,Caprifoliaceae,Sambucus,nigra,Sambucus nigra,Ph.th.end.,AM,145,84,,,,ok
6079,Caprifoliaceae,Sambucus,nigra,Sambucus nigra,Ph.th.end.,AM,147,,+,,,ok
6080,Caprifoliaceae,Sambucus,nigra,Sambucus nigra,no,no,50,,-,,,ok
6081,Caprifoliaceae,Sambucus,nigra,Sambucus nigra,no,no,153,,-,,,ok
6082,Caprifoliaceae,Sambucus,racemosa,Sambucus racemosa,Ph.th.end.,AM,146,,+,,,ok
6083,Caprifoliaceae,Sambucus,racemosa,Sambucus racemosa,Ph.th.end.,AM,147,78,,,,ok
6084,Caprifoliaceae,Sambucus,racemosa,Sambucus racemosa,no,no,27,,-,,,ok
6085,Caprifoliaceae,Sambucus,racemosa,Sambucus racemosa,no,no,50,,-,,,ok
6086,Caprifoliaceae,Sambucus,sibirica,Sambucus sibirica,Ph.th.end.,AM,147,,+,,,ok
