number,family,genus,specific epithet,species,mycorrhizal type selivanov,mycorrhizal type modern,site number,intensity of mycorrhizal infection,literature data on presence-absence of mycorrhiza,mycorrhizal intensity min,mycorrhizal intensity max,taxonomy notes
192,Adoxaceae,Adoxa,moschatellina,Adoxa moschatellina,no,no,26,0,,,,ok
193,Adoxaceae,Adoxa,moschatellina,Adoxa moschatellina,no,no,27,0,,,,ok
194,Adoxaceae,Adoxa,moschatellina,Adoxa moschatellina,no,no,110,0,,,,ok
195,Poaceae,Aegilops,crassa,Aegilops crassa,Ph.th.end.,AM,82,60,,,,ok
196,Poaceae,Aegilops,crassa,Aegilops crassa,Ph.th.end.,AM,148,60,,,,ok
197,Poaceae,Aegilops,cylindrica,Aegilops cylindrica,no,no,82,0,,,,ok
198,Poaceae,Aegilops,cylindrica,Aegilops cylindrica,no,no,118,0,,,,ok
199,Poaceae,Aegilops,juvenalis,Aegilops juvenalis,Ph.th.end.,AM,50,,+,,,ok
200,Poaceae,Aegilops,tauschii,Aegilops tauschii,Ph.th.end.,AM,82,20,,,,ok
201,Poaceae,Aegilops,tauschii,Aegilops tauschii,Ph.th.end.,AM,145,20,,,,ok
202,Poaceae,Aegilops,tauschii,Aegilops tauschii,Ph.th.end.,AM,148,20,,,,ok
203,Poaceae,Aegilops,triuncialis,Aegilops triuncialis,Ph.th.end.,AM,145,20,,,,ok
204,Poaceae,Aegilops,triuncialis,Aegilops triuncialis,no,no,82,0,,,,ok
205,Poaceae,Aegilops,triuncialis,Aegilops triuncialis,no,no,148,0,,,,ok
206,Apiaceae,Aegopodium,alpestre,Aegopodium alpestre,Ph.th.end.,AM,49,36,,,,ok
207,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,8,33,,,,ok
208,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,9,90,,,,ok
209,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,10,34,,,,ok
210,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,15,20,,,,ok
211,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,16,60,,,,ok
212,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,17,74,,,,ok
213,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,19,58,,,,ok
214,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,25,78,,,,ok
215,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,31,90,,,,ok
216,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,35,80,,,,ok
217,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,36,90,,,,ok
218,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,84,50,,,,ok
219,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,85,96,,,,ok
220,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,86,50,,,,ok
221,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,87,80,,,,ok
222,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,88,54,,,,ok
223,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,89,76,,,,ok
224,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,Ph.th.end.,AM,91,58,,,,ok
225,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,VAM,AM,153,,+,,,ok
226,Apiaceae,Aegopodium,podagraria,Aegopodium podagraria,no,no,74,0,,,,ok
227,Sapindaceae,Aesculus,hippocastanum,Aesculus hippocastanum,Ph.th.end.,AM,147,,+,,,ok
228,Sapindaceae,Aesculus,hippocastanum,Aesculus hippocastanum,Ph.th.end.,AM,149,100,,,,ok
229,Sapindaceae,Aesculus,hippocastanum,Aesculus hippocastanum,Ph.th.end.,AM,153,,+,,,ok
230,Brassicaceae,Aethionema,rotundifolia,Aethionema rotundifolia,no,no,131,0,,,,note that generic name may have changed
231,Fabaceae,Afzelia,africana,Afzelia africana,Ecto,Ectomycorrhiza ,153,,+,,,ok
232,Fabaceae,Afzelia,bella,Afzelia bella,Ecto,Ectomycorrhiza ,153,,+,,,ok
233,Araucariaceae,Agathis,australis,Agathis australis,VAM,AM,153,,+,,,ok
234,Araucariaceae,Agathis,lanceolata,Agathis lanceolata,Ph.th.end.,AM,148,,+,,,ok
235,Araucariaceae,Agathis,palmerstonii,Agathis palmerstonii,VAM,AM,153,,+,,,ok
236,Araucariaceae,Agathis,palmerstonii,Agathis palmerstonii,VAM,AM,153,,+,,,ok
237,Araucariaceae,Agathis,robusta,Agathis robusta,VAM,AM,153,,+,,,ok
238,Agavaceae,Agave,americana,Agave americana,Ph.th.end.,AM,154,,+,,,ok
239,Asteraceae,Ageratum,mexicanum,Ageratum mexicanum,Ph.th.end.,AM,145,2,,,,ok
240,Amaranthaceae,Agriophyllum,arenarium,Agriophyllum arenarium,no,no,51,0,,,,ok
241,Amaranthaceae,Agriophyllum,arenarium,Agriophyllum arenarium,no,no,63,0,,,,ok
242,Poaceae,Agropyron,cristatum,Agropyron cristatum,Ph.th.end.,AM,49,30,,,,ok
243,Poaceae,Agropyron,cristatum,Agropyron cristatum,Ph.th.end.,AM,145,64,,,,ok
